transaction_type,account_id,amount,asset_id,asset_name,asset_symbol,asset_decimals,timestamp,hash
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.26934383002565343,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-19 09:09:47,0x0007ffecf9a28ada3e73aaceb9b8108141530ca5c089e1c99d834319007272e7
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.1691085942561144,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-18 22:50:27,0x000a74a81472c9d497ba99dcee346f98a7438eb9fe2ae8cc25d82f89ddbc3fce
deposit,0xb0fda71e61bac82689a7b893e2925b86454cb4bf,0.62,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-18 13:31:17,0x001e204f628e9766a3e5cf29ab43346d63162cba36737e04d3119f76e74bee51
withdraw,0xf3396379f0292adb45342159688a37b6cc6b54ce,62.807907,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-04-18 10:09:47,0x0028f929f7f3314ef541a80ecacd202c6ec87b7e82a64ad6d6ba74d69e1c31ae
deposit,0x2ce851e13c3afc0f77d2763feaac71f13ad9318c,9.6e-05,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-17 01:20:49,0x000cca603aad1c0c257e4110743629776775e19b5d1b9dec1f8261835ec0c8be
deposit,0x11f75669819f8e7e89aa0f381d16a0092bb19264,0.00035,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-16 12:23:13,0x00124a94fa6f1596b53c814cbdb85930ed8641a37f083b93d2b84cd44290931d
deposit,0x798ba0655a3bd0d6f49a9b6937515b2f049c5266,1e-05,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-16 12:16:57,0x000b24a28bb810fb8eed47bce01955e13ad73cddaefe8a3691d8cd24d8ec4343
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.6351540060611633,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-15 07:03:29,0x0025b3d8ca85171563bc1481c34acc927dd59ad14639ade712be0e17962c1a0f
deposit,0x0608b808c0460d2c9e16d07f20b7566051f9ee0b,0.00062828263,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-15 00:34:39,0x0013ab7192890f62c65ef175cc2d482f1088dd77d26c1fac5a74a572517c76a3
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.1207647811023992,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-14 20:14:59,0x000e19f44314b5cab76e870cc44da2f7fa592da64083312963747ae65d423b87
deposit,0x461638ba9203f06ac8cc1aa3953242193e0315d5,0.001,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-14 15:42:55,0x001548f12d4c23fde7359b7c5b500c9d152f578aa281d9ef18b531568576026f
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.001000000080349644,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-14 12:41:15,0x0013b739a75dd976740b8d755917e796feeb4a0a6bdcacfcffd244f54d5db09e
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.23802439586097104,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-14 01:42:01,0x00160def2bc41da6128b2b5356fc78f03c5dd03cf8bf4db954e318fb83912d18
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.18507051747193326,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-14 00:18:35,0x001c7271f98c9ee1140a4f4b514100eb35f7854388ea9192135e3850a31abc62
deposit,0x3ecdd4b523163bb19fbb2d7728dd48855ba133df,1e-06,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-13 19:01:03,0x0007e87ad939443c76efce65b802f3ac693c7cb1de2bba00ab1f2b96b19d6c45
deposit,0x6b2e0718902f8bee8bac3cefa98e90868ade4a57,0.20637686029292,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-13 16:09:03,0x000a12dc7a5c4afcd0ef12b474264e5698cd34b9c8a056975a560208ff9eae44
deposit,0xe0b8c2c883d8f9306c714fbfe83ff873dbf310c4,0.5693694977052038,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-13 08:48:25,0x0009f580814f3f223e4c1ca4b9f6818c7c0591d0bd53f9944d1e8f5e11ac6f00
